chemical_name,chemical_type,who_hazard_class,toxicity_score,toxicity_intensity,human_health_effects,environmental_effects,regulatory_status,recommended_alternative
Endosulfan Variant 42,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 42,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 42,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 42,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 43,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 43,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 43,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 43,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 43,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 44,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 44,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 44,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 44,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 44,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 45,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 45,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 45,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 45,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 45,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 46,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 46,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 46,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 46,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 46,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 47,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 47,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 47,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 47,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 47,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 48,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 48,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 48,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 48,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 48,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 49,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 49,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 49,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 49,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 49,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 50,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 50,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 50,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 50,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 50,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 51,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 51,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 51,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 51,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 51,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 52,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 52,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 52,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 52,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 52,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 53,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 53,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 53,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 53,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 53,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 54,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 54,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 54,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 54,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 54,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 55,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 55,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 55,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 55,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 55,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 56,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 56,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 56,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 56,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 56,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 57,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 57,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 57,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 57,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 57,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 58,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 58,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 58,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 58,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 58,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 59,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 59,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 59,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 59,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 59,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 60,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 60,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 60,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 60,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 60,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 61,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 61,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 61,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 61,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 61,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 62,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 62,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 62,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 62,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 62,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 63,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 63,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 63,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 63,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 63,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 64,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 64,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 64,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 64,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 64,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 65,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 65,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 65,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 65,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 65,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 66,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 66,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 66,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 66,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 66,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 67,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 67,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 67,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 67,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 67,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 68,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 68,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 68,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 68,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 68,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 69,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 69,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 69,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 69,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 69,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 70,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 70,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 70,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 70,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 70,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 71,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 71,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 71,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 71,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 71,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 72,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 72,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 72,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 72,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 72,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 73,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 73,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 73,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 73,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 73,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 74,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 74,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 74,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 74,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 74,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 75,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 75,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 75,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 75,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 75,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 76,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 76,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 76,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 76,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 76,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 77,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 77,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 77,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 77,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 77,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 78,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 78,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 78,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 78,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 78,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 79,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 79,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 79,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 79,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 79,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 80,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 80,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 80,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 80,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 80,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 81,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 81,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 81,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 81,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 81,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 82,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 82,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 82,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
DDT Variant 82,Insecticide,II,7,Moderate,"Carcinogenic, endocrine disruption",Persistent organic pollutant,Restricted,Integrated Pest Management
Monocrotophos Variant 82,Insecticide,Ib,9,High,"Organ failure, neurotoxicity",Aquatic toxicity,Restricted,Neem-based pesticides
Aldrin Variant 83,Insecticide,Ia,10,Extreme,"Neurotoxicity, carcinogenic",Persistent soil and water pollutant,Banned,Biopesticides
Endosulfan Variant 83,Insecticide,Ib,9,High,"Endocrine disruption, neurotoxicity","Bioaccumulation, aquatic toxicity",Banned,Biological pest control
Paraquat Variant 83,Herbicide,II,8,High,"Respiratory failure, lung fibrosis",Soil persistence,Banned,Mechanical weeding
